year,total
1942,2
1945,1
1948,2
1949,7
1952,3
1955,4
1956,3
1957,4
1958,8
1959,2
1961,5
1962,11
1963,5
1964,2
1965,13
1966,60
1967,102
1968,137
1969,78
1970,31
1971,35
1972,30
1973,64
1974,83
1975,211
1976,89
1977,72
1978,74
1979,83
1980,104
1981,70
1982,127
1983,111
1984,130
1985,144
1986,186
1987,171
1988,172
1989,159
1990,194
1991,134
1992,162
1993,148
1994,219
1995,216
1996,213
1997,260
1998,193
1999,252
2000,306
2001,500
2002,500
2003,582
2004,521
2005,586
2006,528
2007,709
2008,706
2009,768
2010,954
2011,1267
2012,1599
2013,1681
2014,2262
2015,2555
2016,2459
2017,2540
2018,2330
2019,293
