city,stateCode,countryCode,total
Dothan,AL,US,131
Falkville,AL,US,1
Tuskegee,AL,US,3
Trinity,AL,US,2
Montgomery,AL,US,429
Alabaster,AL,US,3
Northport,AL,US,1
Alexander City,AL,US,9
Sylacauga,AL,US,1
Millry,AL,US,1
Oxford,AL,US,15
Spanish Fort,AL,US,5
Kimberly,AL,US,1
Birmingham,AL,US,6793
Russellville,AL,US,1
Steele,AL,US,2
Greenville,AL,US,1
Rockford,AL,US,1
Gardendale,AL,US,1
Jemison,AL,US,3
Troy,AL,US,7
Jackson,AL,US,4
Ozark,AL,US,17
Eufaula,AL,US,1
Tuscumbia,AL,US,6
Dutton,AL,US,1
Haleyville,AL,US,1
Ardmore,AL,US,1
Dauphin Island,AL,US,1
Orrville,AL,US,2
Pratt City,AL,US,1
Prichard,AL,US,1
Brooklyn,AL,US,1
Warrior,AL,US,1
Camp Hill,AL,US,1
Lake Harding,AL,US,3
Deatsville,AL,US,1
Mobile,AL,US,3142
Selma,AL,US,3
Collinsville,AL,US,1
Guntersville,AL,US,3
Gadsden,AL,US,31
Maylene,AL,US,1
Fairfield,AL,US,2
Harvest,AL,US,2
Phenix City,AL,US,35
Jasper,AL,US,6
Bessemer,AL,US,16
Daphne,AL,US,1
Lincoln,AL,US,6
Elba,AL,US,1
Green Hill,AL,US,1
Auburn,AL,US,291
Fort Payne,AL,US,22
Geneva,AL,US,1
Huntsville,AL,US,931
Attalla,AL,US,1
Henagar,AL,US,2
Foley,AL,US,3
Rainsville,AL,US,2
Waverly,AL,US,12
Hanceville,AL,US,1
Moulton,AL,US,1
Tuscaloosa,AL,US,438
Leeds,AL,US,1
Vestavia Hills,AL,US,27
Ariton,AL,US,1
Waterloo,AL,US,1
Enterprise,AL,US,185
Brewton,AL,US,4
Southside,AL,US,6
Jacksonville,AL,US,52
Eclectic,AL,US,2
Lexington,AL,US,1
Florence,AL,US,177
Fayette,AL,US,1
Opp,AL,US,3
Homewood,AL,US,20
Albertville,AL,US,9
Cullman,AL,US,60
Daleville,AL,US,1
Gulf Shores,AL,US,600
Pelham,AL,US,605
Decatur,AL,US,49
Rainbow City,AL,US,6
Shorter,AL,US,1
Homer,AK,US,18
Kodiak,AK,US,2
Juneau City and Borough,AK,US,29
Eagle River,AK,US,1
Trapper Creek,AK,US,1
Anchorage Municipality,AK,US,3
Denali National Park,AK,US,6
Warren,AK,US,1
Funny River,AK,US,1
Eagle Creek,AK,US,2
Talkeetna,AK,US,8
Girdwood,AK,US,76
Haines,AK,US,3
Ketchikan,AK,US,3
Ninilchik,AK,US,6
Kenai,AK,US,5
Eielson Air Force Base,AK,US,3
Soldotna,AK,US,4
Kotzebue,AK,US,1
Valdez,AK,US,3
State of Alaska,AK,US,1
Mendenhall Valley,AK,US,1
Palmer,AK,US,84
Safford,AZ,US,5
Prescott Valley,AZ,US,30
Fort Defiance,AZ,US,2
Casa Grande,AZ,US,5
Queen Creek,AZ,US,36
Snowflake,AZ,US,4
Cascabel,AZ,US,3
Williams,AZ,US,1
Flagstaff,AZ,US,543
Peoria,AZ,US,443
Sun City West,AZ,US,55
Arcosanti,AZ,US,112
Sacaton,AZ,US,1
San Tan Valley,AZ,US,21
Jerome,AZ,US,2
Camp Verde,AZ,US,19
Mount Lemmon,AZ,US,2
Whiteriver,AZ,US,1
Lake Havasu City,AZ,US,20
Maricopa,AZ,US,32
Kingman,AZ,US,11
Glendale,AZ,US,464
Florence,AZ,US,246
Buckeye,AZ,US,8
Roosevelt,AZ,US,2
Tubac,AZ,US,1
Quartzite Spring,AZ,US,2
Sedona,AZ,US,57
Douglas,AZ,US,3
Fountain Hills,AZ,US,22
Sells,AZ,US,1
Tucson,AZ,US,5293
Marana,AZ,US,3
Morristown,AZ,US,1
Tuba City,AZ,US,21
Golden Valley,AZ,US,3
Amado,AZ,US,1
Bullhead City,AZ,US,1
Chandler Heights,AZ,US,1
Apache Junction,AZ,US,1
Avondale,AZ,US,10
Wickenburg,AZ,US,10
Sierra Vista,AZ,US,9
North Rim,AZ,US,1
Morenci,AZ,US,1
Coolidge,AZ,US,2
Globe,AZ,US,3
Second Mesa,AZ,US,1
San Carlos,AZ,US,11
Hot Springs Canyon,AZ,US,1
Oro Valley,AZ,US,9
Tempe,AZ,US,6067
Fort Mojave,AZ,US,2
Phoenix,AZ,US,24406
Beebe,AR,US,1
Poyen,AR,US,2
Fort Smith,AR,US,169
Hartman,AR,US,2
Batesville,AR,US,11
Wynne,AR,US,1
Eureka Springs,AR,US,67
El Dorado,AR,US,38
Siloam Springs,AR,US,2
Fordyce,AR,US,1
West Memphis,AR,US,18
Leachville,AR,US,1
Texarkana,AR,US,33
Grady,AR,US,2
Dardanelle,AR,US,3
Dover,AR,US,2
Magnolia,AR,US,1
Lincoln,AR,US,1
Rison,AR,US,1
Russellville,AR,US,17
Huntsville,AR,US,4
Camden,AR,US,11
Sherwood,AR,US,3
North Little Rock,AR,US,486
Tuckerman,AR,US,2
Briarcliff,AR,US,4
Jacksonville,AR,US,2
Pine Bluff,AR,US,85
Parkin,AR,US,3
Bald Knob,AR,US,2
Conway,AR,US,47
Harrisburg,AR,US,2
Clinton,AR,US,1
Alexander,AR,US,2
Mountain View,AR,US,9
Mena,AR,US,2
Searcy,AR,US,10
