rank,city,country,countryCode,total
1,London,United Kingdom,GB,129496
2,Espana,Spain,ES,83735
3,Ontario,Canada,CA,65534
4,Bavaria,Germany,DE,52870
5,Finland,Finland,FI,51841
6,Argentina,Argentina,AR,50283
7,Paris,France,FR,47962
8,Sydney,Australia,AU,44815
9,Denmark,Denmark,DK,44096
10,Queensland,Australia,AU,39694
11,Melbourne,Australia,AU,38743
12,Baden-Baden,Germany,DE,37704
13,Baden Baden,Germany,DE,37704
14,Baden,Germany,DE,37704
15,Baden-Württemberg,Germany,DE,37703
16,Buenos Aires,Argentina,AR,37609
17,Berlin,Germany,DE,33617
18,Manchester,United Kingdom,GB,31705
19,Antwerp,Belgium,BE,30101
20,Hamburg,Germany,DE,27404
21,Federal,Argentina,AR,26450
22,Amsterdam,Netherlands,NL,26289
23,Glasgow,United Kingdom,GB,26019
24,Tokyo,Japan,JP,25251
25,Shinjuku,Japan,JP,24973
26,Stockholm,Sweden,SE,24435
27,Brussels,Belgium,BE,23855
28,Brisbane,Australia,AU,23650
29,Ireland,Ireland,IE,22777
30,München,Germany,DE,21603
31,Munich,Germany,DE,21598
32,British Columbia,Canada,CA,21089
33,Birmingham,United Kingdom,GB,20282
34,Madrid,Spain,ES,19119
35,Helsinki,Finland,FI,18703
36,São Paulo,Brazil,BR,18531
37,Copenhagen,Denmark,DK,18432
38,Vienna,Austria,AT,17931
39,Cologne,Germany,DE,17843
40,Wales,United Kingdom,GB,16705
41,Portugal,Portugal,PT,16531
42,Leeds,United Kingdom,GB,16466
43,Mexico City,Mexico,MX,16361
44,Alberta,Canada,CA,15846
45,Dublin,Ireland,IE,14831
46,Gothenburg,Sweden,SE,14578
47,Oslo,Norway,NO,14539
48,Milan,Italy,IT,14474
49,Milano,Italy,IT,14470
50,Bristol,United Kingdom,GB,13939
