city,state,state code,country code,country
Ogunquit,Maine,ME,US,United States
Fall Branch,Tennessee,TN,US,United States
Wawona,California,CA,US,United States
Lakewood,Washington,WA,US,United States
Big Spring,Texas,TX,US,United States
Mendocino,California,CA,US,United States
Saint Amant,Louisiana,LA,US,United States
Bridgeport,Pennsylvania,PA,US,United States
Mackinaw,Illinois,IL,US,United States
Second Mesa,Arizona,AZ,US,United States
Kings Point,New York,NY,US,United States
East Haddam,Connecticut,CT,US,United States
Grove,Oklahoma,OK,US,United States
Wrentham,Massachusetts,MA,US,United States
Leasburg,Missouri,MO,US,United States
Indiana Township,Pennsylvania,PA,US,United States
Acton,Massachusetts,MA,US,United States
Sneedville,Tennessee,TN,US,United States
Centerville,Virginia,VA,US,United States
Landers,California,CA,US,United States
Northeastern Illinois University,Illinois,IL,US,United States
Stone Ridge,New York,NY,US,United States
Semora,North Carolina,NC,US,United States
Blair,Nebraska,NE,US,United States
Knightsen,California,CA,US,United States
Asbury,New Jersey,NJ,US,United States
Long Grove,Illinois,IL,US,United States
Little Neck,New York,NY,US,United States
Hillside,Illinois,IL,US,United States
Pulaski,Pennsylvania,PA,US,United States
Fonda,New York,NY,US,United States
Edinburg,Illinois,IL,US,United States
Worthington Township,Minnesota,MN,US,United States
Greenville,Florida,FL,US,United States
Morenci,Arizona,AZ,US,United States
Ludowici,Georgia,GA,US,United States
Nichols,South Carolina,SC,US,United States
Ahoskie,North Carolina,NC,US,United States
Hockley,Texas,TX,US,United States
Carmi,Illinois,IL,US,United States
Lexington,Ohio,OH,US,United States
Sedro-Woolley,Washington,WA,US,United States
Carthage,North Carolina,NC,US,United States
Bland County,Virginia,VA,US,United States
Hatton,North Dakota,ND,US,United States
Ohio,Missouri,MO,US,United States
Watchung,New Jersey,NJ,US,United States
Alviso,California,CA,US,United States
Brownstown Township,Michigan,MI,US,United States
Wien,Missouri,MO,US,United States
Ramsey,New Jersey,NJ,US,United States
Fenton,Michigan,MI,US,United States
Melvin,Illinois,IL,US,United States
Lexington,Illinois,IL,US,United States
Homestead,Florida,FL,US,United States
Matlacha,Florida,FL,US,United States
Lemont,Pennsylvania,PA,US,United States
Covington,Washington,WA,US,United States
Bogart,Georgia,GA,US,United States
Petersburg,Pennsylvania,PA,US,United States
