city,state,state code,country code,country
Andorra la Vella,Parròquia d'Andorra la Vella,07,AD,Andorra
Hesperia Andorra la Vella,Andorra,01,AD,Andorra
Aixovall,Andorra (general),00,AD,Andorra
Ordino,Parròquia d'Ordino,05,AD,Andorra
Parròquia d'Escaldes-Engordany,Parròquia d'Escaldes-Engordany,08,AD,Andorra
Arinsal,Andorra,01,AD,Andorra
Dubailand,Dubayy,03,AE,United Arab Emirates
Dubai,Dubayy,03,AE,United Arab Emirates
Fujairah,Al Fujayrah,04,AE,United Arab Emirates
Sharjah,Ash Shāriqah,06,AE,United Arab Emirates
Ra's al Khaymah,Raʼs al Khaymah,05,AE,United Arab Emirates
The Palm Jumeirah,Dubayy,03,AE,United Arab Emirates
Darah-ye Mīrzā Wulang,Sar-e Pol,33,AF,Afghanistan
Chal,Ghowr,09,AF,Afghanistan
Kōchak-e Dahan-e Allāh Muḩammad,Parvān,40,AF,Afghanistan
Mandanur,Balkh,30,AF,Afghanistan
Shamālī Walah,Zabul Province,28,AF,Afghanistan
Kamah La‘lpūrah,Nangarhār,18,AF,Afghanistan
Nêwī Nīkêh,Ghowr,09,AF,Afghanistan
Kandahar,Kandahār,23,AF,Afghanistan
Sar-e Dālah,Dāykondī,41,AF,Afghanistan
Qishlāq-e Ghulām Ḩasan,Baghlān,03,AF,Afghanistan
Gereshk,Helmand,10,AF,Afghanistan
Kabul,Kabul,13,AF,Afghanistan
Boland Vakīl,Khowst,37,AF,Afghanistan
Awij Mārkashah,Ghaznī,08,AF,Afghanistan
Seh Chowak,Dāykondī,41,AF,Afghanistan
Kandahār,Kandahār,23,AF,Afghanistan
Bāqōl Pāyah,Laghmān,35,AF,Afghanistan
Şad Barg,Vardak,27,AF,Afghanistan
Āw Khōrak,Samangān,32,AF,Afghanistan
Chumār,Panjshīr,42,AF,Afghanistan
Bagram Airfield,Parvān,22,AF,Afghanistan
Mollā Ādam Kalā,Paktīkā,29,AF,Afghanistan
Bang-e Murdah,Vardak,27,AF,Afghanistan
Tarinkot,Orūzgān Province,39,AF,Afghanistan
Qal`eh-ye Vīrāneh-ye Mīrzā `Abd or Raḩmān,Farah,06,AF,Afghanistan
Ūsah,Ghaznī,08,AF,Afghanistan
Rosṯam Kheyl,Lowgar,17,AF,Afghanistan
Gōgāmundah,Kabul,13,AF,Afghanistan
Chīl,Bāmīān,05,AF,Afghanistan
Parmāwān,Laghmān,35,AF,Afghanistan
Vernons,Saint Peter,07,AG,Antigua and Barbuda
St. John's,Saint John,04,AG,Antigua and Barbuda
Crocus Bay,Anguilla (general),00,AI,Anguilla
Rendezvous Bay,Anguilla (general),00,AI,Anguilla
Palermo,Vlorë,51,AL,Albania
Arbanë,Tiranë,50,AL,Albania
Gjirokastër,Gjirokastër,45,AL,Albania
Himarë,Vlorë,51,AL,Albania
Tirana,Tiranë,50,AL,Albania
Përmet,Gjirokastër,45,AL,Albania
Tepelenë,Gjirokastër,45,AL,Albania
Vlorë,Vlorë,51,AL,Albania
Yerevan,Yerevan,11,AM,Armenia
Tsaghkadzor,Kotaykʼ,05,AM,Armenia
Juancho Irausquin Airport,Netherlands Antilles (general),00,AN,Netherlands Antilles
Curaçao,Netherlands Antilles (general),00,AN,Netherlands Antilles
Dorp Nor i Saliña,Netherlands Antilles (general),00,AN,Netherlands Antilles
Fazenda Vitória,Cuanza Sul,06,AO,Angola
Moxico,Moxico,14,AO,Angola
Sombo,Lunda Norte,17,AO,Angola
Zumbi,Lunda Norte,17,AO,Angola
Luanda,Luanda,10,AO,Angola
Luanda,Uíge,15,AO,Angola
Calamba-Chalua,Lunda Norte,17,AO,Angola
Luque,Córdoba,05,AR,Argentina
La Consulta,Mendoza,13,AR,Argentina
Estación Lezama,Buenos Aires,01,AR,Argentina
Inriville,Córdoba,05,AR,Argentina
Miguel Riglos,La Pampa,11,AR,Argentina
Villa Icho Cruz,Córdoba,05,AR,Argentina
