city,country,countryCode,total_2014,total_2015,total_2016,total_2017,total_2018
London,United Kingdom,GB,6749,6904,8097,7435,7880
Espana,Spain,ES,5986,6581,7584,9376,10408
Ontario,Canada,CA,3837,4269,4366,5100,5528
Bavaria,Germany,DE,3225,3345,4090,4082,3994
Finland,Finland,FI,2895,6039,4828,5573,5078
Argentina,Argentina,AR,3810,4283,4738,4765,5217
Paris,France,FR,3284,3150,3741,3707,3996
Sydney,Australia,AU,1923,1921,1762,1764,1671
Denmark,Denmark,DK,1859,2059,2140,2294,2429
Queensland,Australia,AU,2265,2773,2060,2786,2254
Melbourne,Australia,AU,1976,2110,1833,1917,1774
Baden-Baden,Germany,DE,2041,2219,2340,2488,2442
Baden Baden,Germany,DE,2041,2219,2340,2488,2442
Baden,Germany,DE,2041,2219,2340,2488,2442
Baden-Württemberg,Germany,DE,2041,2219,2340,2488,2442
Buenos Aires,Argentina,AR,2828,3006,3325,3221,3717
Berlin,Germany,DE,2414,2039,2133,2251,2373
Manchester,United Kingdom,GB,1926,2040,2391,2483,2688
Antwerp,Belgium,BE,2159,2050,2350,2069,2635
Hamburg,Germany,DE,1693,1425,1895,1928,2081
Federal,Argentina,AR,1885,1968,2046,1936,2468
Amsterdam,Netherlands,NL,1884,2147,2698,2361,2614
Glasgow,United Kingdom,GB,1661,1701,1911,2092,1925
Tokyo,Japan,JP,1629,1747,1692,1822,1681
Shinjuku,Japan,JP,1613,1731,1682,1805,1651
Stockholm,Sweden,SE,2496,2806,2175,1282,1267
Brussels,Belgium,BE,1193,1304,1650,1358,1944
Brisbane,Australia,AU,1304,1379,1222,1598,1521
Ireland,Ireland,IE,1272,1208,1321,1517,2124
München,Germany,DE,1183,1426,1666,1787,1957
Munich,Germany,DE,1183,1426,1664,1787,1957
British Columbia,Canada,CA,1249,1479,1608,1517,1562
Birmingham,United Kingdom,GB,1032,1047,1187,1385,1404
Madrid,Spain,ES,1229,1161,1352,1831,2062
Helsinki,Finland,FI,1117,2092,1646,1742,1564
São Paulo,Brazil,BR,1538,1697,1858,1678,1770
Copenhagen,Denmark,DK,975,961,970,1146,1189
Vienna,Austria,AT,1265,1277,1379,1438,1321
Cologne,Germany,DE,1063,1025,1293,1406,1314
Wales,United Kingdom,GB,851,979,1545,1410,1521
Portugal,Portugal,PT,1203,1326,1426,1419,1445
Leeds,United Kingdom,GB,1131,1067,1355,1450,1396
Mexico City,Mexico,MX,1243,1263,1472,1498,1485
Alberta,Canada,CA,1101,1337,1458,1189,1259
Dublin,Ireland,IE,791,776,863,1081,1473
Gothenburg,Sweden,SE,1318,1654,1327,1285,1726
Oslo,Norway,NO,894,935,1102,1135,1113
Milan,Italy,IT,679,769,845,985,1130
Milano,Italy,IT,679,769,846,986,1128
Bristol,United Kingdom,GB,887,1071,1276,1293,1602
